date,ticker,bm,evm,pe_op_basic,pe_op_dil,pe_exi,ps,pcf,dpr,npm,opmad,gpm,ptpm,cfm,roa,roe,roce,efftax,aftret_eq,aftret_invcapx,aftret_equity,GProf,equity_invcap,debt_invcap,totdebt_invcap,capital_ratio,int_debt,int_totdebt,cash_lt,debt_at,debt_ebitda,short_debt,lt_debt,cash_debt,fcf_ocf,lt_ppent,dltt_be,debt_assets,debt_capital,de_ratio,at_turn,rect_turn,pay_turn,sale_equity,rd_sale,adv_sale,staff_sale,accrual,ptb,divyield,volume,price,SMA_3,SMA_6,ret_1m,ret_3m,ret_6m,vol_3m,vol_6m,EMA_6,EMA_12,RSI,MACD_ratio,vol_SMA_3,vol_SMA_6,vol_ROC,OBV
2022-09-30,AAL,0.4410833333333333,102.96,-2.944,-2.944,-4.054,0.192,-359.18,5.532138888888889,-0.047,-0.045,0.173,-0.061,0.011,0.008,-0.009166666666666668,-0.047,0.2663333333333333,0.245,-0.001,0.245,0.104,-0.236,1.236,1.35,1.236,0.045,0.041,0.185,0.679,82.684,0.084,0.556,0.01,0.415,2.015,4.994395833333333,1.119,1.2,-9.409,0.603,26.231,15.37,5.527229166666667,0.0,0.004,0.0,-0.028,3.2039791666666666,0.0,687483710.0,12.04,12.913333333333334,14.676666666666668,-0.0731331793687453,-0.050473186119873836,-0.3402739726027397,0.0838066310217984,0.12747057431251724,14.13600134595137,15.698997297793268,16.648764769065536,-0.19696754959400972,667489606.6666666,706657900.0,0.19271018731874934,1766262369.0
2022-10-31,AAL,0.4410833333333333,102.96,-3.467,-3.467,-4.774,0.226,-370.63,5.532138888888889,-0.047,-0.045,0.173,-0.061,0.011,0.008,-0.009166666666666668,-0.047,0.2663333333333333,0.245,-0.001,0.245,0.104,-0.236,1.236,1.35,1.236,0.045,0.041,0.185,0.679,82.684,0.084,0.556,0.01,0.415,2.015,4.994395833333333,1.119,1.2,-9.409,0.603,26.231,15.37,5.527229166666667,0.0,0.004,0.0,-0.028,3.2039791666666666,0.0,802631570.0,14.18,13.07,13.911666666666667,0.1777408637873754,0.03428154631655711,-0.24453915823122008,0.1392726638759977,0.15870580335014206,14.148572389965263,15.465305405825074,29.002744739249778,-0.16339894195097834,688839980.0,712571976.6666666,0.1674917650048755,2568893939.0
2022-11-30,AAL,0.4410833333333333,27.614,-6.329,-6.329,-5.819,0.207,8.292,5.532138888888889,-0.036,-0.008,0.198,-0.045,0.017,0.03,-0.009166666666666668,-0.01,0.2663333333333333,0.2,0.009,0.2,0.133,-0.244,1.244,1.362,1.244,0.046,0.042,0.175,0.676,22.676,0.086,0.551,0.01,-0.801,2.007,4.994395833333333,1.121,1.206,-9.237,0.674,26.331,15.986,5.527229166666667,0.0,0.004,0.0,-0.041,3.2039791666666666,0.0,522661225.0,14.43,13.549999999999999,13.338333333333333,0.017630465444287813,0.11085450346420322,-0.19250139899272534,0.12702438375290245,0.15982187065873849,14.228980278546617,15.306027651082756,33.268482490272376,-0.15439750901674557,670925501.6666666,687528907.5,-0.348815515691714,3091555164.0
2022-12-31,AAL,0.4410833333333333,27.614,-5.579,-5.579,-5.129,0.183,7.318,5.532138888888889,-0.036,-0.008,0.198,-0.045,0.017,0.03,-0.009166666666666668,-0.01,0.2663333333333333,0.2,0.009,0.2,0.133,-0.244,1.244,1.362,1.244,0.046,0.042,0.175,0.676,22.676,0.086,0.551,0.01,-0.801,2.007,4.994395833333333,1.121,1.206,-9.237,0.674,26.331,15.986,5.527229166666667,0.0,0.004,0.0,-0.041,3.2039791666666666,0.0,522890860.0,12.72,13.776666666666666,13.345,-0.11850311850311845,0.056478405315614655,0.003154574132492094,0.14828361866104098,0.10997721847639197,13.797843056104728,14.908177243223871,50.29411764705883,-0.1783974117395044,616061218.3333334,641775412.5,0.0004393572528744727,2568664304.0
2022-01-31,AAP,0.274,12.88,21.123,21.259,23.456,1.316,13.3,0.249,0.059,0.088,0.471,0.077,0.082,0.103,0.166,0.137,0.243,0.183,0.098,0.183,0.436,0.522,0.478,0.548,0.478,0.012,0.011,0.092,0.3,2.922,0.127,0.367,0.117,0.755,2.17,0.829,0.714,0.683,2.497,0.925,13.331,1.575,3.235,0.0,0.013,0.0,-0.037,4.042,1.73,12971487.0,231.51,230.70333333333335,221.56166666666664,-0.034892446223111606,0.02656083717630353,0.09171932471941902,0.06668277004945931,0.05789977002530182,222.70364954368665,207.5940039509622,65.14561594767169,0.09466821817722626,13673433.666666666,13168109.666666666,-0.111378139037691,307648567.0
2022-02-28,AAP,0.238,16.111,19.737,19.891,21.412,1.136,11.232,0.336,0.056,0.082,0.47,0.073,0.08,0.097,0.166,0.128,0.236,0.184,0.094,0.184,0.423,0.481,0.519,0.59,0.519,0.012,0.01,0.066,0.315,3.304,0.121,0.372,0.123,0.74,2.158,0.953,0.743,0.713,2.898,0.915,14.35,1.575,3.516,0.0,0.016,0.0,-0.041,3.53,1.96,19706671.0,204.48,225.29,221.83333333333334,-0.11675521575741865,-0.07357738310982243,0.00803549420754246,0.10242861170482409,0.07742359080858716,217.49689253120476,207.11492642004492,50.993538949164936,0.0980280411961686,15758488.666666666,14187281.5,0.5192299078740934,287941896.0
2022-03-31,AAP,0.238,16.111,19.977,20.132,21.671,1.15,11.369,0.336,0.056,0.082,0.47,0.073,0.08,0.097,0.166,0.128,0.236,0.184,0.094,0.184,0.423,0.481,0.519,0.59,0.519,0.012,0.01,0.066,0.315,3.304,0.121,0.372,0.123,0.74,2.158,0.953,0.743,0.713,2.898,0.915,14.35,1.575,3.516,0.0,0.016,0.0,-0.041,3.573,2.9,21336944.0,206.96,214.3166666666667,221.51166666666666,0.012128325508607318,-0.13723528430882104,-0.009239312556847956,0.06522197127163101,0.07657349270429216,214.4863518080034,207.09109158619185,48.770230661399275,0.08961933222395292,18005034.0,15677114.5,0.08272696083473452,309278840.0
2022-04-30,AAP,0.238,16.111,19.269,19.419,20.904,1.109,10.965,0.336,0.056,0.082,0.47,0.073,0.08,0.097,0.166,0.128,0.236,0.184,0.094,0.184,0.423,0.481,0.519,0.59,0.519,0.012,0.01,0.066,0.315,3.304,0.121,0.372,0.123,0.74,2.158,0.953,0.743,0.713,2.898,0.915,14.35,1.575,3.516,0.0,0.016,0.0,-0.041,3.446,3.01,15409822.0,199.63,203.68999999999997,217.19666666666663,-0.03541747197526102,-0.13770463478899397,-0.11480134799574326,0.06517591404706218,0.06669925378958523,210.2416798628596,205.94323134216233,31.28523926557756,0.08304629889560859,18817812.333333332,16245623.0,-0.27778682832930524,293869018.0
2022-05-31,AAP,0.263,15.651,19.777,19.943,21.143,1.043,15.828,0.496,0.052,0.075,0.47,0.067,0.076,0.092,0.156,0.12,0.236,0.174,0.089,0.174,0.434,0.487,0.513,0.585,0.513,0.012,0.01,0.061,0.314,3.433,0.123,0.373,0.123,0.541,2.161,0.936,0.738,0.709,2.821,0.922,12.706,1.596,3.523,0.0,0.016,0.0,-0.013,3.457,3.16,20839538.0,189.86,198.8166666666667,212.0533333333333,-0.048940539998998056,-0.07149843505477294,-0.13981515041681758,0.03207512681590282,0.06789693316773071,204.41834275918544,203.46888805875275,29.188022659832768,0.07409407131288247,19195434.666666668,17476961.666666668,0.352354232255246,273029480.0
2022-06-30,AAP,0.263,15.651,18.03,18.182,19.275,0.951,14.43,0.496,0.052,0.075,0.47,0.067,0.076,0.092,0.156,0.12,0.236,0.174,0.089,0.174,0.434,0.487,0.513,0.585,0.513,0.012,0.01,0.061,0.314,3.433,0.123,0.373,0.123,0.541,2.161,0.936,0.738,0.709,2.821,0.922,12.706,1.596,3.523,0.0,0.016,0.0,-0.013,3.152,3.47,16752729.0,173.09,187.52666666666667,200.92166666666665,-0.08832824186242494,-0.16365481252415925,-0.2784308821077205,0.027488828024335887,0.045171723766086816,195.46738768513245,198.79521297279078,3.4564459930313802,0.06125181254092379,17667363.0,17836198.5,-0.1961084262040742,256276751.0
2022-07-31,AAP,0.263,15.651,20.169,20.338,21.561,1.063,16.141,0.496,0.052,0.075,0.47,0.067,0.076,0.092,0.156,0.12,0.236,0.174,0.089,0.174,0.434,0.487,0.513,0.585,0.513,0.012,0.01,0.061,0.314,3.433,0.123,0.373,0.123,0.541,2.161,0.936,0.738,0.709,2.821,0.922,12.706,1.596,3.523,0.0,0.016,0.0,-0.013,3.526,3.1,13666435.0,193.62,185.52333333333334,194.60666666666668,0.1186088162227743,-0.030105695536742916,-0.1636646365167811,0.1098841236920129,0.08378608012305065,194.93956263223745,197.9990263615922,27.42223811226316,0.04856884490447727,17086234.0,17952023.166666668,-0.18422634306327046,269943186.0
2022-08-31,AAP,0.309,15.956,18.655,18.78,20.076,0.917,15.727,0.591,0.047,0.069,0.469,0.061,0.073,0.087,0.148,0.111,0.236,0.167,0.083,0.167,0.43,0.47,0.53,0.606,0.53,0.012,0.011,0.044,0.322,3.724,0.126,0.375,0.123,0.424,2.162,0.993,0.75,0.722,3.007,0.918,12.277,1.599,3.677,0.0,0.016,0.0,-0.01,3.155,3.56,17790057.0,168.64,178.45000000000002,188.63333333333333,-0.12901559756223535,-0.11176656483724867,-0.17527386541471046,0.13278821309712793,0.08653338709209608,187.4254018801696,193.4822530751934,28.108966528218915,0.03774480544805919,16069740.333333334,17632587.5,0.30173355377609457,252153129.0
2022-09-30,AAP,0.309,15.956,17.294,17.41,18.612,0.85,14.58,0.591,0.047,0.069,0.469,0.061,0.073,0.087,0.148,0.111,0.236,0.167,0.083,0.167,0.43,0.47,0.53,0.606,0.53,0.012,0.011,0.044,0.322,3.724,0.126,0.375,0.123,0.424,2.162,0.993,0.75,0.722,3.007,0.918,12.277,1.599,3.677,0.0,0.016,0.0,-0.01,2.924,3.84,16958134.0,156.34,172.86666666666665,180.1966666666667,-0.0729364326375711,-0.09677046623144026,-0.24458832624661775,0.12984112432892034,0.08550914523588696,178.54385848583544,187.76806029439442,22.39310645724258,0.01874674873799071,16138208.666666666,16902785.833333332,-0.046763368998761545,235194995.0
2022-10-31,AAP,0.309,15.956,21.009,21.149,22.61,1.033,17.711,0.591,0.047,0.069,0.469,0.061,0.073,0.087,0.148,0.111,0.236,0.167,0.083,0.167,0.43,0.47,0.53,0.606,0.53,0.012,0.011,0.044,0.322,3.724,0.126,0.375,0.123,0.424,2.162,0.993,0.75,0.722,3.007,0.918,12.277,1.599,3.677,0.0,0.016,0.0,-0.01,3.553,3.16,15498194.0,189.92,171.63333333333333,178.57833333333335,0.21478828194959698,-0.019109596116103744,-0.04863998397034519,0.18445030572410798,0.13591041691314207,181.7941846327396,188.09912794141064,45.883151021792585,0.015192871560084588,16748795.0,16917514.5,-0.08609083994736688,250693189.0
2022-11-30,AAP,0.337,16.099,18.526,18.618,19.972,0.808,13.345,0.726,0.042,0.063,0.468,0.054,0.068,0.081,0.136,0.102,0.236,0.154,0.075,0.154,0.428,0.455,0.545,0.629,0.545,0.013,0.011,0.032,0.329,4.064,0.134,0.374,0.123,0.355,2.169,1.044,0.762,0.735,3.197,0.914,12.6,1.588,3.837,0.0,0.016,0.0,-0.017,2.84,3.97,28282952.0,150.99,165.75,172.1,-0.20498104465037903,-0.10466081593927878,-0.20472980090593074,0.21464217452156564,0.15976184843158922,172.9929890233854,182.3900313350398,36.78700115575498,-0.0019112372715166777,20246426.666666668,18158083.5,0.8249192131676761,222410237.0
