permno,adate,qdate,public_date,bm,evm,pe_op_basic,pe_op_dil,pe_exi,ps,pcf,dpr,npm,opmad,gpm,ptpm,cfm,roa,roe,roce,efftax,aftret_eq,aftret_invcapx,aftret_equity,pretret_noa,GProf,equity_invcap,debt_invcap,totdebt_invcap,capital_ratio,int_debt,int_totdebt,cash_lt,invt_act,rect_act,debt_at,debt_ebitda,short_debt,curr_debt,lt_debt,profit_lct,ocf_lct,cash_debt,fcf_ocf,lt_ppent,dltt_be,debt_assets,debt_capital,de_ratio,intcov,intcov_ratio,inv_turn,at_turn,rect_turn,pay_turn,sale_equity,sale_nwc,rd_sale,adv_sale,staff_sale,accrual,ptb,PEG_trailing,divyield,TICKER
10138,2021-12-31,2022-03-31,2022-05-31,0.263,11.072,10.192,10.291,10.282,3.748,8.113,0.611,0.376,0.478,0.508,0.477,0.407,0.341,0.35,0.434,0.224,0.35,0.333,0.35,,0.329,0.869,0.023,0.033,0.025,0.0,0.0,1.186,,,0.027,0.082,0.23,,0.098,,,1.531,0.934,2.612,0.026,0.191,0.059,0.266,,,1.773,0.648,8.009,8.913,0.901,,0.0,0.013,0.311,-0.056,3.19,0.535,3.78%,TROW
10138,2021-12-31,2022-03-31,2022-06-30,0.263,11.072,9.111,9.199,9.192,3.327,7.202,0.611,0.376,0.478,0.508,0.477,0.407,0.341,0.35,0.434,0.224,0.35,0.333,0.35,,0.329,0.869,0.023,0.033,0.025,0.0,0.0,1.186,,,0.027,0.082,0.23,,0.098,,,1.531,0.934,2.612,0.026,0.191,0.059,0.266,,,1.773,0.648,8.009,8.913,0.901,,0.0,0.013,0.311,-0.056,2.832,0.478,4.22%,TROW
10138,2021-12-31,2022-03-31,2022-07-31,0.263,11.072,9.901,9.998,9.989,3.615,7.826,0.611,0.376,0.478,0.508,0.477,0.407,0.341,0.35,0.434,0.224,0.35,0.333,0.35,,0.329,0.869,0.023,0.033,0.025,0.0,0.0,1.186,,,0.027,0.082,0.23,,0.098,,,1.531,0.934,2.612,0.026,0.191,0.059,0.266,,,1.773,0.648,8.009,8.913,0.901,,0.0,0.013,0.311,-0.056,3.078,0.519,3.89%,TROW
10138,2021-12-31,2022-06-30,2022-08-31,0.35,10.672,11.673,11.765,11.572,3.714,8.02,0.741,0.333,0.458,0.495,0.407,0.369,0.303,0.283,0.356,0.224,0.283,0.257,0.283,,0.3,0.873,0.024,0.031,0.027,0.0,0.0,1.091,,,0.026,0.087,0.229,,0.115,,,1.531,0.929,2.415,0.028,0.179,0.062,0.244,,,2.094,0.607,7.873,7.24,0.826,,0.0,0.013,0.311,-0.08,3.021,0.902,4.00%,TROW
10138,2021-12-31,2022-06-30,2022-09-30,0.35,10.672,10.215,10.295,10.126,3.225,6.963,0.741,0.333,0.458,0.495,0.407,0.369,0.303,0.283,0.356,0.224,0.283,0.257,0.283,,0.3,0.873,0.024,0.031,0.027,0.0,0.0,1.091,,,0.026,0.087,0.229,,0.115,,,1.531,0.929,2.415,0.028,0.179,0.062,0.244,,,2.094,0.607,7.873,7.24,0.826,,0.0,0.013,0.311,-0.08,2.623,0.79,4.57%,TROW
10138,2021-12-31,2022-06-30,2022-10-31,0.35,10.672,10.327,10.408,10.237,3.253,7.025,0.741,0.333,0.458,0.495,0.407,0.369,0.303,0.283,0.356,0.224,0.283,0.257,0.283,,0.3,0.873,0.024,0.031,0.027,0.0,0.0,1.091,,,0.026,0.087,0.229,,0.115,,,1.531,0.929,2.415,0.028,0.179,0.062,0.244,,,2.094,0.607,7.873,7.24,0.826,,0.0,0.013,0.311,-0.08,2.646,0.798,4.52%,TROW
10138,2021-12-31,2022-09-30,2022-11-30,0.379,10.462,14.713,14.817,14.325,4.03,9.774,0.545,0.293,0.417,0.459,0.357,0.335,0.264,0.23,0.31,0.224,0.23,0.205,0.23,,0.261,0.877,0.029,0.034,0.032,0.0,0.0,0.946,,,0.029,0.109,0.201,,0.136,,,1.531,0.917,2.333,0.033,0.181,0.067,0.245,,,2.738,0.57,7.906,7.482,0.771,,0.0,0.013,0.311,-0.069,3.134,1.548,3.84%,TROW
10138,2021-12-31,2022-09-30,2022-12-31,0.379,10.462,12.846,12.937,12.507,3.532,8.566,0.545,0.293,0.417,0.459,0.357,0.335,0.264,0.23,0.31,0.224,0.23,0.205,0.23,,0.261,0.877,0.029,0.034,0.032,0.0,0.0,0.946,,,0.029,0.109,0.201,,0.136,,,1.531,0.917,2.333,0.033,0.181,0.067,0.245,,,2.738,0.57,7.906,7.482,0.771,,0.0,0.013,0.311,-0.069,2.746,1.352,4.40%,TROW
10145,2020-12-31,2021-09-30,2022-01-31,0.138,21.531,23.639,23.944,26.317,4.049,22.777,0.479,0.158,0.196,0.365,0.206,0.194,0.125,0.275,0.167,0.191,0.306,0.158,0.306,0.449,0.198,0.516,0.476,0.651,0.48,0.022,0.016,0.285,0.178,0.27,0.351,2.822,0.268,0.411,0.358,0.422,0.326,0.133,0.853,7.196,0.819,0.718,0.615,2.579,16.288,18.953,4.679,0.541,4.87,3.738,1.943,4.626,0.039,0.0,0.0,-0.011,6.938,0.532,1.92%,HON
10145,2021-12-31,2021-12-31,2022-02-28,0.147,20.666,21.711,21.987,23.989,3.784,21.555,0.473,0.161,0.197,0.366,0.21,0.199,0.123,0.273,0.169,0.225,0.307,0.161,0.307,0.489,0.195,0.541,0.44,0.601,0.449,0.021,0.016,0.255,0.203,0.276,0.32,2.609,0.268,0.431,0.334,0.405,0.31,0.134,0.852,6.947,0.721,0.701,0.594,2.435,17.157,19.735,4.529,0.533,4.905,3.67,1.852,5.865,0.039,0.0,0.0,-0.008,6.217,,2.07%,HON
